Measure Names	Year of Year	Measure Values
Avg. Shot %	1968	9.2
Max. Shot %	1968	10.5
Min Shot %	1968	8
Avg. Shot %	1969	9.25
Max. Shot %	1969	11.7
Min Shot %	1969	7.6
Avg. Shot %	1970	8.825
Max. Shot %	1970	10.2
Min Shot %	1970	7.3
Avg. Shot %	1971	9.742857143
Max. Shot %	1971	12.6
Min Shot %	1971	7.9
Avg. Shot %	1972	9.864285714
Max. Shot %	1972	12.6
Min Shot %	1972	8.1
Avg. Shot %	1973	10.4875
Max. Shot %	1973	13.2
Min Shot %	1973	8.7
Avg. Shot %	1974	10.5125
Max. Shot %	1974	13.2
Min Shot %	1974	9
Avg. Shot %	1975	11.044444444
Max. Shot %	1975	14.6
Min Shot %	1975	8.3
Avg. Shot %	1976	11.088888889
Max. Shot %	1976	12.6
Min Shot %	1976	8.7
Avg. Shot %	1977	11.022222222
Max. Shot %	1977	13.7
Min Shot %	1977	8.3
Avg. Shot %	1978	11.216666667
Max. Shot %	1978	13.7
Min Shot %	1978	8.8
Avg. Shot %	1979	11.911764706
Max. Shot %	1979	15.6
Min Shot %	1979	9.6
Avg. Shot %	1980	11.971428571
Max. Shot %	1980	13.9
Min Shot %	1980	9.4
Avg. Shot %	1981	12.647619048
Max. Shot %	1981	15.2
Min Shot %	1981	10.2
Avg. Shot %	1982	12.928571429
Max. Shot %	1982	15.6
Min Shot %	1982	10.1
Avg. Shot %	1983	12.633333333
Max. Shot %	1983	15.9
Min Shot %	1983	10.6
Avg. Shot %	1984	12.885714286
Max. Shot %	1984	17.1
Min Shot %	1984	11
Avg. Shot %	1985	12.723809524
Max. Shot %	1985	15.5
Min Shot %	1985	10.7
Avg. Shot %	1986	12.771428571
Max. Shot %	1986	16.1
Min Shot %	1986	11
Avg. Shot %	1987	12.242857143
Max. Shot %	1987	15.8
Min Shot %	1987	11.2
Avg. Shot %	1988	12.190476190
Max. Shot %	1988	15.5
Min Shot %	1988	9.8
Avg. Shot %	1989	12.352380952
Max. Shot %	1989	15.2
Min Shot %	1989	10.3
Avg. Shot %	1990	12.180952381
Max. Shot %	1990	14.3
Min Shot %	1990	10.4
Avg. Shot %	1991	11.580952381
Max. Shot %	1991	14.2
Min Shot %	1991	10
Avg. Shot %	1992	11.418181818
Max. Shot %	1992	13.5
Min Shot %	1992	9.4
Avg. Shot %	1993	11.683333333
Max. Shot %	1993	13.9
Min Shot %	1993	8.9
Avg. Shot %	1994	10.688461538
Max. Shot %	1994	12.2
Min Shot %	1994	8.9
Avg. Shot %	1995	10.188461538
Max. Shot %	1995	12.9
Min Shot %	1995	8.9
Avg. Shot %	1996	10.388461538
Max. Shot %	1996	13.7
Min Shot %	1996	8.2
Avg. Shot %	1997	9.803846154
Max. Shot %	1997	11.8
Min Shot %	1997	8.3
Avg. Shot %	1998	9.65
Max. Shot %	1998	11.6
Min Shot %	1998	7.2
Avg. Shot %	1999	9.455555556
Max. Shot %	1999	11.6
Min Shot %	1999	8.1
Avg. Shot %	2000	9.832142857
Max. Shot %	2000	11.5
Min Shot %	2000	8
Avg. Shot %	2001	9.923333333
Max. Shot %	2001	11.7
Min Shot %	2001	8.2
Avg. Shot %	2002	9.483333333
Max. Shot %	2002	11.1
Min Shot %	2002	8
Avg. Shot %	2003	9.363333333
Max. Shot %	2003	11.1
Min Shot %	2003	7.1
Avg. Shot %	2004	9.166666667
Max. Shot %	2004	10.8
Min Shot %	2004	7.2
Avg. Shot %	2006	10.093333333
Max. Shot %	2006	11.4
Min Shot %	2006	8.3
Avg. Shot %	2007	9.746666667
Max. Shot %	2007	12.3
Min Shot %	2007	8.6
Avg. Shot %	2008	9.383333333
Max. Shot %	2008	10.8
Min Shot %	2008	7.8
Avg. Shot %	2009	9.44
Max. Shot %	2009	10.9
Min Shot %	2009	7.5
Avg. Shot %	2010	9.13
Max. Shot %	2010	11.6
Min Shot %	2010	7.5
Avg. Shot %	2011	8.986666667
Max. Shot %	2011	10.1
Min Shot %	2011	7.3
Avg. Shot %	2012	8.943333333
Max. Shot %	2012	10.4
Min Shot %	2012	7.5
Avg. Shot %	2013	9.15
Max. Shot %	2013	11.5
Min Shot %	2013	7
Avg. Shot %	2014	8.906666667
Max. Shot %	2014	10.2
Min Shot %	2014	7
Avg. Shot %	2015	8.896666667
Max. Shot %	2015	10.7
Min Shot %	2015	6.9
Avg. Shot %	2016	8.973333333
Max. Shot %	2016	10.1
Min Shot %	2016	7.6
Avg. Shot %	2017	9.013333333
Max. Shot %	2017	10.5
Min Shot %	2017	7.2
